Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 80.37     26.40    26.40        1    26.40    30.88  luaV_execute
  9.09     29.39     2.99 310000031     0.00     0.00  luaD_pretailcall
  5.21     31.10     1.71 306946270     0.00     0.00  luaD_precall
  1.49     31.59     0.49 271946189     0.00     0.00  luaH_getshortstr
  0.76     31.84     0.25 25000004     0.00     0.00  forprep
  0.59     32.03     0.20 35000103     0.00     0.00  luaT_getvarargs
  0.33     32.14     0.11 10000002     0.00     0.00  luaF_closeupval
  0.29     32.24     0.10 25000004     0.00     0.00  luaV_tointeger
  0.23     32.31     0.08                             unroll
  0.18     32.37     0.06 20000430     0.00     0.00  luaM_free_
  0.18     32.43     0.06       12     0.01     0.01  luaH_getint
  0.12     32.47     0.04 40000947     0.00     0.00  l_alloc
  0.12     32.51     0.04 20000290     0.00     0.00  freeobj
  0.12     32.55     0.04 10000001     0.00     0.00  luaF_findupval
  0.09     32.58     0.03 20000364     0.00     0.00  luaM_malloc_
  0.09     32.61     0.03 20000290     0.00     0.00  luaC_newobj
  0.09     32.64     0.03   714299     0.00     0.00  dothecall
  0.09     32.67     0.03                             luaM_toobig
  0.06     32.69     0.02 10000006     0.00     0.00  luaF_newLclosure
  0.06     32.71     0.02   285781     0.00     0.00  propagatemark
  0.06     32.73     0.02        3     0.01     0.01  luaM_saferealloc_
  0.06     32.75     0.02                             luaC_newobjdt
  0.06     32.77     0.02                             panic
  0.05     32.79     0.02        4     0.00     0.00  luaT_adjustvarargs
  0.03     32.80     0.01   286012     0.00     0.00  reallymarkobject
  0.03     32.81     0.01   142866     0.00     0.00  luaC_step
  0.03     32.82     0.01   142860     0.00     0.00  luaS_clearcache
  0.03     32.83     0.01        7     0.00     0.00  luaF_newCclosure
  0.03     32.84     0.01        1     0.01     0.01  enterinc
  0.03     32.85     0.01                             luaF_unlinkupval
  0.02     32.85     0.01                             luaV_tointegerns
  0.00     32.85     0.00   571440     0.00     0.00  clearbyvalues
  0.00     32.85     0.00   571440     0.00     0.00  correctgraylist
  0.00     32.85     0.00   285720     0.00     0.00  clearbykeys
  0.00     32.85     0.00   285720     0.00     0.00  convergeephemerons
  0.00     32.85     0.00   142868     0.00     0.00  luaE_setdebt
  0.00     32.85     0.00   142861     0.00     0.00  separatetobefnz
