idx, data structure, Ins/Del Ratio,Read/Write Ratio,Element Size,Number of Elements,Operations Completed, Time[Seconds]
1,arrbm,0,100,8,10,100000, 0.062500
2,arrbm,0,100,8,1000,100000, 0.046875
3,arrbm,0,100,8,100000,100000, 0.046875
4,arrbm,0,100,8,10000000,100000, 0.046875
5,arrbm,0,100,512,10,100000, 0.046875
6,arrbm,0,100,512,1000,100000, 0.046875
7,arrbm,0,100,512,100000,100000, 0.062500
8,arrbm,0,100,512,10000000,100000, 0.062500
9,arrbm,0,100,8192,10,10,arrbm,0,100,8192,1000,11,arrbm,0,100,8192,100000,100000, 0.062500
12,arrbm,0,100,8192,10000000,13,arrbm,0,99,8,10,100000, 0.062500
14,arrbm,0,99,8,1000,100000, 0.062500
15,arrbm,0,99,8,100000,100000, 0.062500
16,arrbm,0,99,8,10000000,100000, 0.062500
17,arrbm,0,99,512,10,100000, 0.046875
18,arrbm,0,99,512,1000,100000, 0.046875
19,arrbm,0,99,512,100000,100000, 0.046875
20,arrbm,0,99,512,10000000,100000, 0.062500
21,arrbm,0,99,8192,10,22,arrbm,0,99,8192,1000,100000, 0.046875
23,arrbm,0,99,8192,100000,24,arrbm,0,99,8192,10000000,25,arrbm,0,90,8,10,100000, 0.046875
26,arrbm,0,90,8,1000,100000, 0.062500
27,arrbm,0,90,8,100000,100000, 0.062500
28,arrbm,0,90,8,10000000,100000, 0.062500
29,arrbm,0,90,512,10,100000, 0.046875
30,arrbm,0,90,512,1000,100000, 0.062500
31,arrbm,0,90,512,100000,100000, 0.062500
32,arrbm,0,90,512,10000000,100000, 0.062500
33,arrbm,0,90,8192,10,100000, 0.062500
34,arrbm,0,90,8192,1000,35,arrbm,0,90,8192,100000,100000, 0.062500
36,arrbm,0,90,8192,10000000,37,arrbm,0,50,8,10,100000, 0.062500
38,arrbm,0,50,8,1000,100000, 0.062500
39,arrbm,0,50,8,100000,100000, 0.046875
40,arrbm,0,50,8,10000000,100000, 0.046875
41,arrbm,0,50,512,10,100000, 0.062500
42,arrbm,0,50,512,1000,100000, 0.062500
43,arrbm,0,50,512,100000,100000, 0.062500
44,arrbm,0,50,512,10000000,100000, 0.062500
45,arrbm,0,50,8192,10,100000, 0.062500
46,arrbm,0,50,8192,1000,47,arrbm,0,50,8192,100000,48,arrbm,0,50,8192,10000000,49,arrbm,1,100,8,10,100000, 0.062500
50,arrbm,1,100,8,1000,100000, 0.062500
51,arrbm,1,100,8,100000,100000, 0.593750
52,arrbm,1,100,8,10000000,100000, 5.000000
53,arrbm,1,100,512,10,100000, 0.062500
54,arrbm,1,100,512,1000,100000, 0.328125
55,arrbm,1,100,512,100000,100000, 5.000000
56,arrbm,1,100,512,10000000,100000, 5.265625
57,arrbm,1,100,8192,10,58,arrbm,1,100,8192,1000,59,arrbm,1,100,8192,100000,60,arrbm,1,100,8192,10000000,61,arrbm,1,99,8,10,100000, 0.062500
62,arrbm,1,99,8,1000,100000, 0.062500
63,arrbm,1,99,8,100000,100000, 0.625000
64,arrbm,1,99,8,10000000,100000, 5.000000
65,arrbm,1,99,512,10,100000, 0.062500
66,arrbm,1,99,512,1000,100000, 0.328125
67,arrbm,1,99,512,100000,100000, 5.000000
68,arrbm,1,99,512,10000000,100000, 5.187500
69,arrbm,1,99,8192,10,100000, 0.109375
70,arrbm,1,99,8192,1000,71,arrbm,1,99,8192,100000,100000, 5.000000
