idx, data structure, Ins/Del Ratio,Read/Write Ratio,Element Size,Number of Elements,Operations Completed, Time[Seconds]
1,Array,0,100,8,10,100000, 0.000000
2,Array,0,100,8,1000,100000, 0.000000
3,Array,0,100,8,100000,100000, 0.000000
4,Array,0,100,8,10000000,100000, 0.000000
5,Array,0,100,512,10,100000, 0.000000
6,Array,0,100,512,1000,100000, 0.000000
7,Array,0,100,512,100000,100000, 0.000000
8,Array,0,100,512,10000000,100000, 0.000000
9,Array,0,100,8192,10,100000, 0.000000
10,Array,0,100,8192,1000,11,Array,0,100,8192,100000,12,Array,0,100,8192,10000000,13,Array,0,99,8,10,100000, 0.000000
14,Array,0,99,8,1000,100000, 0.000000
15,Array,0,99,8,100000,100000, 0.000000
16,Array,0,99,8,10000000,100000, 0.000000
17,Array,0,99,512,10,100000, 0.000000
18,Array,0,99,512,1000,100000, 0.000000
19,Array,0,99,512,100000,100000, 0.000000
20,Array,0,99,512,10000000,100000, 0.000000
21,Array,0,99,8192,10,22,Array,0,99,8192,1000,23,Array,0,99,8192,100000,24,Array,0,99,8192,10000000,25,Array,0,90,8,10,100000, 0.000000
26,Array,0,90,8,1000,100000, 0.000000
27,Array,0,90,8,100000,100000, 0.000000
28,Array,0,90,8,10000000,100000, 0.000000
29,Array,0,90,512,10,100000, 0.000000
30,Array,0,90,512,1000,100000, 0.000000
31,Array,0,90,512,100000,100000, 0.000000
32,Array,0,90,512,10000000,100000, 0.000000
33,Array,0,90,8192,10,34,Array,0,90,8192,1000,35,Array,0,90,8192,100000,36,Array,0,90,8192,10000000,37,Array,0,50,8,10,100000, 0.000000
38,Array,0,50,8,1000,100000, 0.000000
39,Array,0,50,8,100000,100000, 0.000000
40,Array,0,50,8,10000000,100000, 0.000000
41,Array,0,50,512,10,100000, 0.000000
42,Array,0,50,512,1000,100000, 0.000000
43,Array,0,50,512,100000,100000, 0.000000
44,Array,0,50,512,10000000,100000, 0.000000
45,Array,0,50,8192,10,46,Array,0,50,8192,1000,47,Array,0,50,8192,100000,48,Array,0,50,8192,10000000,49,Array,1,100,8,10,100000, 0.000000
50,Array,1,100,8,1000,100000, 0.000000
51,Array,1,100,8,100000,100000, 0.500000
52,Array,1,100,8,10000000,100000, 457.500000
53,Array,1,100,512,10,100000, 0.015625
54,Array,1,100,512,1000,100000, 0.250000
55,Array,1,100,512,100000,100000, 101.937500
56,Array,1,100,512,10000000,
